"variable","titre","Formulaire
(par défaut BM)","page","type","Représentation 
(par défaut INPUT TEXT)","Taille de champs de saisie (par défaut identique à Représentation)","valeurs autorisées / modalités","Obligatoire (par défaut OUI) ","Non Modifiable
(par défaut NON)","SOMME","DEPENDANCES","Abrégé (A) / Complet (C) / Les deux (AC) (AC par défaut)","initialisation 
(par défaut aucune)","Nom variable n-1 dans ADRESSE08"
"D130","Imprimés – Total – Livres imprimés – UM – Eliminations",,"D","Int",10,,,,,,,"AC",,
"D131","Imprimés – Total – Livres imprimés – dont nombre d'acquisitions à titre gracieux – UM – Acquisitions",,"D","Int",10,,,,,,,"AC",,
"D132","Imprimés – Total – Livres imprimés – dont libre accès – UM – Fonds",,"D","Int",10,,,,,,,"C",,
"D133","Imprimés – Total – Livres imprimés – dont libre accès – TIT – Fonds",,"D","Int",10,,,,,,,"C",,
"D134","Imprimés – Total – Livres imprimés – dont libre accès – TIT – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D135","Imprimés – Total – Publications en série imprimées – UM – Fonds",,"D","Int",10,,,,,,,"AC",,
"D136","Imprimés – Total – Publications en série imprimées – UM – Acquisitions",,"D","Int",10,,,,,,,"AC",,
"D137","Imprimés – Total – Publications en série imprimées – UM – Eliminations",,"D","Int",10,,,,,,,"AC",,
"D138","Imprimés – Total – Publications en série imprimées – dont libre accès – UM Fonds",,"D","Int",10,,,,,,,"C",,
"D139","Imprimés – Total – Publications en série imprimées – dont libre accès – TIT - Fonds ",,"D","Int",10,,,,,,,"C",,
"D140","Imprimés – Total – Publications en série imprimées – dont libre accès – TIT – Acquisitions",,"D","Int",10,,,,,,,"C",,
"D201","Publications en série en cours – Imprimées- Adultes – Abonnements",,"D","Int",10,,,,,,,"AC",,
"D202","Publications en série en cours – Imprimées – Adultes – Titres",,"D","Int",10,,,,,,,"C",,
"D203","Publications en série en cours – Imprimées – Enfants – Abonnements",,"D","Int",10,,,,,,,"AC",,
"D204","Publications en série en cours – Imprimées – Enfants – Titres",,"D","Int",10,,,,,,,"C",,
"D205","Publications en série en cours – Electroniques – Adultes – Titres",,"D","Int",10,,,,,,,"C",,
"D206","Publications en série en cours – Electroniques – Enfants – Titres",,"D","Int",10,,,,,,,"C",,
"D207","Publications en série en cours – Total – Adultes – Abonnements",,"D","Int",10,,,,,,,"C",,
